Id,Region,Garden/Balcony,Base Rent,Construction Year,Living Space,Lift and Floor,Rooms,Parking Spaces,Condition,Additional Cost,nrPicks
106899845,Stuttgart,both,800,1993,49,no lift + floor 0,2,1,well kept,150,6
106921516,Esslingen Kreis,both,1250,2006,95,lift + floor 1,4.5,1,mint condition,220,7
106922601,Rems Murr Kreis,balcony,1835,2018,130.95,lift + floor 3,4,2,first time use,250,7
106942989,Bodenseekreis,balcony,720,1986,85.7,no lift + floor 2,3,1,well kept,170,7
106945381,Pforzheim,balcony,1050,1990,143,no lift + floor 3,4,2,well kept,300,7
106957405,Schwäbisch Hall Kreis,none,500,2013,80,no lift + floor 2,3,1,first time use,130,7
106974937,Konstanz Kreis,balcony,1700,1969,127,lift + floor 2,5,1,fully renovated,320,7
106980808,Schwäbisch Hall Kreis,balcony,950,2018,117.43,no lift + floor 1,5,2,first time use,100,6
107001447,Konstanz Kreis,balcony,770,2005,76,lift + floor 1,3.5,1,mint condition,270,7
107008971,Bodenseekreis,balcony,1195,2015,98.3,lift + floor 4,2,1,mint condition,230,7
107032159,Schwarzwald Baar Kreis,both,700,1989,91,no lift + floor 1,3,1,well kept,200,6
107068774,Göppingen Kreis,both,1200,1998,145,no lift + floor 3,5,1,well kept,280,7
107076067,Enzkreis,both,1497.23,2018,159.28,no lift + floor 1,5.5,1,mint condition,250,7
107082132,Ludwigsburg Kreis,balcony,1840,2012,147,lift + floor 4,4,2,mint condition,325,7
107086122,Esslingen Kreis,both,1680,2008,88,lift + floor 0,3.5,2,well kept,280,7
107169770,Breisgau Hochschwarzwald Kreis,balcony,1265,2013,98.76,lift + floor 0,4,1,well kept,275,6
107269331,Breisgau Hochschwarzwald Kreis,both,1102,2018,116,no lift + floor 1,4,1,first time use,250,7
107280018,Schwarzwald Baar Kreis,balcony,600,1970,105,lift + floor 5,4.5,1,well kept,190,7
107290589,Esslingen Kreis,balcony,1220,2016,100.8,lift + floor 2,3,1,mint condition,250,6
107296386,Schwarzwald Baar Kreis,both,620,1997,78,no lift + floor 0,3,1,mint condition,180,7
107298596,Esslingen Kreis,balcony,680,1955,87,no lift + floor 2,3.5,1,well kept,70,7
107300102,Waldshut Kreis,balcony,600,2013,62.5,lift + floor 3,2.5,1,mint condition,140,7
107302635,Esslingen Kreis,none,750,2001,84,no lift + floor 0,3,1,well kept,230,6
107308419,Stuttgart,both,1200,2018,54,lift + floor 3,2,1,first time use,160,6
107322000,Heidelberg,balcony,1051,2012,88,no lift + floor 2,2,1,mint condition,201,7
107322389,Reutlingen Kreis,balcony,870,2018,71.13,lift + floor 1,2,1,mint condition,180,7
107324917,Pforzheim,balcony,1300,2009,175,no lift + floor 2,5,1,mint condition,220,6
